Bi 213:	Tl 209:	Pb 209:	Bi 209:
10000	0	0	0
9996	0	4	0
9993	0	7	0
9993	0	7	0
9991	0	9	0
9987	0	13	0
9986	0	13	1
9984	0	15	1
9981	0	18	1
9979	0	20	1
9977	0	22	1
9975	0	24	1
9969	0	30	1
9966	1	32	1
9963	1	35	1
9963	1	35	1
9961	1	37	1
9958	1	40	1
9954	1	44	1
9952	1	44	3
9949	1	47	3
9948	1	48	3
9944	2	51	3
9942	2	53	3
9940	2	55	3
9937	2	58	3
9934	2	61	3
9932	2	63	3
9931	2	64	3
9930	2	64	4
9926	2	67	5
9924	2	69	5
9919	2	74	5
9915	2	78	5
9912	2	81	5
9909	2	83	6
9909	2	83	6
9906	2	86	6
9902	2	89	7
9900	2	91	7
9899	2	92	7
9896	3	94	7
9895	3	95	7
9894	3	96	7
9891	4	97	8
9889	4	99	8
9885	4	103	8
9885	4	103	8
9880	4	107	9
9880	3	108	9
9876	3	112	9
9875	3	112	10
9873	3	113	11
9868	3	118	11
9863	3	120	14
9862	3	121	14
9859	3	122	16
9855	3	125	17
9855	3	125	17
9853	3	127	17
9849	3	131	17
9846	3	134	17
9844	3	136	17
9842	3	138	17
9838	3	142	17
9836	3	144	17
9832	3	148	17
9830	3	150	17
9828	3	151	18
9823	3	156	18
9822	3	156	19
9819	3	159	19
9817	3	159	21
9814	3	162	21
9812	4	162	22
9808	5	165	22
9808	5	165	22
9806	5	166	23
9805	5	167	23
9800	5	172	23
9798	5	174	23
9796	5	175	24
9792	5	178	25
9786	5	184	25
9783	5	186	26
9782	5	186	27
9781	5	187	27
9778	5	189	28
9775	5	192	28
9774	5	192	29
9774	5	191	30
9773	5	192	30
9771	5	194	30
9770	5	195	30
9769	5	195	31
9767	5	195	33
9767	5	195	33
9766	5	196	33
9763	5	199	33
9761	5	201	33
9760	5	201	34
9756	5	205	34
9754	5	206	35
9751	5	207	37
9747	5	211	37
9744	5	213	38
9742	5	215	38
9740	5	217	38
9736	5	221	38
9733	5	221	41
9732	5	222	41
9730	5	223	42
9728	5	224	43
9725	5	226	44
9720	5	230	45
9719	5	228	48
9714	6	231	49
9711	6	232	51
9708	7	234	51
9708	7	233	52
9703	7	238	52
9699	7	240	54
9697	7	241	55
9697	7	241	55
9693	7	244	56
9693	6	244	57
9690	6	247	57
9689	6	248	57
9687	6	250	57
9682	6	254	58
9679	6	257	58
9676	6	256	62
9672	6	260	62
9669	6	263	62
9665	7	265	63
9663	7	266	64
9663	7	264	66
9659	7	267	67
9654	7	271	68
9649	7	275	69
9648	7	274	71
9648	7	274	71
9648	7	273	72
9645	7	275	73
9642	7	278	73
9637	7	283	73
9635	7	285	73
9634	7	286	73
9633	7	286	74
9629	7	290	74
9627	7	291	75
9618	8	298	76
9611	8	302	79
9609	8	303	80
9606	8	302	84
9604	8	304	84
9600	9	306	85
9599	9	306	86
9598	9	305	88
9597	9	305	89
9592	9	308	91
9590	8	310	92
9590	8	310	92
9587	8	311	94
9582	8	314	96
9581	8	315	96
9578	8	318	96
9573	8	322	97
9572	8	321	99
9570	8	322	100
9564	8	328	100
9564	8	327	101
9563	8	327	102
9561	8	329	102
9556	8	334	102
9553	8	336	103
9549	8	340	103
9544	8	344	104
9541	7	347	105
9539	7	348	106
9535	8	350	107
9534	8	350	108
9534	8	350	108
9530	8	354	108
9527	8	357	108
9524	8	360	108
9521	8	361	110
9519	8	362	111
9515	8	364	113
9514	8	364	114
9511	8	366	115
9510	8	367	115
9509	8	366	117
9506	9	367	118
9505	9	368	118
9503	9	368	120
9501	9	369	121
9500	9	368	123
9500	9	368	123
9499	8	369	124
9496	9	369	126
9494	9	369	128
9487	10	375	128
9485	10	376	129
9481	10	379	130
9480	10	377	133
9477	9	380	134
9477	9	377	137
9476	9	376	139
9475	9	375	141
9472	9	378	141
9469	10	380	141
9465	10	382	143
9462	10	383	145
9461	10	383	146
9460	10	383	147
9457	10	385	148
9455	10	385	150
9452	10	387	151
9446	11	392	151
9444	11	393	152
9439	11	397	153
9436	12	396	156
9434	12	398	156
9427	12	403	158
9426	12	401	161
9425	12	399	164
9422	12	401	165
9422	12	396	170
9421	11	397	171
9420	11	397	172
9418	11	398	173
9413	12	401	174
9411	12	402	175
9408	12	404	176
9406	12	404	178
9404	12	404	180
9402	12	404	182
9400	12	406	182
9396	12	407	185
9394	12	407	187
9390	12	409	189
9390	12	409	189
9388	12	409	191
9385	12	412	191
9384	12	410	194
9383	12	410	195
9377	11	417	195
9375	11	417	197
9375	11	414	200
9373	11	415	201
9369	10	419	202
9366	10	422	202
9363	10	423	204
9358	10	427	205
9356	10	428	206
9351	10	431	208
9349	10	431	210
9347	10	431	212
9346	10	430	214
9343	10	433	214
9335	10	441	214
9334	10	441	215
9333	10	440	217
9330	9	443	218
9327	8	445	220
9322	8	448	222
9321	8	447	224
9320	8	446	226
9319	8	446	227
9315	8	449	228
9315	8	447	230
9310	7	451	232
9309	7	449	235
9304	7	453	236
9302	7	455	236
9301	7	452	240
9301	7	451	241
9301	7	450	242
9298	7	451	244
9296	7	450	247
9293	7	452	248
9291	7	454	248
9290	6	451	253
9289	6	451	254
9289	6	450	255
9287	6	451	256
9284	6	453	257
9282	6	454	258
9280	6	454	260
9277	6	456	261
9274	6	458	262
9274	6	458	262
9272	6	458	264
9267	7	461	265
9264	7	458	271
9259	7	462	272
9256	7	464	273
9255	7	464	274
9252	7	467	274
9249	7	468	276
9245	8	470	277
9243	8	471	278
9242	7	471	280
9235	7	473	285
9233	7	474	286
9228	7	475	290
9228	7	475	290
9226	7	473	294
9224	7	473	296
9219	7	477	297
9219	7	477	297
9218	7	477	298
9218	7	475	300
9217	7	474	302
9215	7	474	304
9213	7	472	308
9213	7	470	310
9210	7	471	312
9209	7	469	315
9206	7	471	316
